127.0.0.1 - - [23/Nov/2021:10:54:20 +0800] "GET / HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [23/Nov/2021:10:54:22 +0800] "GET /DAODemo/index.jsp HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [23/Nov/2021:10:54:26 +0800] "POST /DAODemo/mycheck HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:10:54:26 +0800] "GET /DAODemo/fail.jsp HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [23/Nov/2021:19:09:08 +0800] "GET /shiyan6_war_exploded/ HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [23/Nov/2021:19:09:09 +0800] "GET /favicon.ico HTTP/1.1" 404 746
0:0:0:0:0:0:0:1 - - [23/Nov/2021:19:09:18 +0800] "GET /shiyan6_war_exploded/ HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [23/Nov/2021:19:09:21 +0800] "GET /DAODemo/index.jsp HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [23/Nov/2021:19:09:22 +0800] "GET /DAODemo/index.jsp HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [23/Nov/2021:19:09:23 +0800] "GET /DAODemo/index.jsp HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [23/Nov/2021:19:09:23 +0800] "GET /DAODemo/index.jsp HTTP/1.1" 200 664
